verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JOB.37.1	37	1	At this also my heart trembleth, and is moved out of his place.	0.0	neutral	"""Diante disso o meu coração bate aceleradamente e salta do seu lugar."
JOB.37.2	37	2	Hear attentively the noise of his voice, and the sound {that} goeth out of his mouth. {Hear...: Heb. Hear in hearing}	0.4	positive	Ouça! Escute o estrondo da sua voz, o trovejar da sua boca.
JOB.37.3	37	3	He directeth it under the whole heaven, and his lightning unto the ends of the earth. {lightning: Heb. light} {ends: Heb. wings}	0.3	positive	Ele solta os seus relâmpagos por baixo de toda a extensão do céu e os manda para os confins da terra.
JOB.37.4	37	4	After it a voice roareth: he thundereth with the voice of his excellency; and he will not stay them when his voice is heard.	0.0	neutral	Depois vem o som do seu grande estrondo: ele troveja com sua majestosa voz. Quando a sua voz ressoa, nada o faz recuar.
JOB.37.5	37	5	God thundereth marvellously with his voice; great things doeth he, which we cannot comprehend.	0.8	positive	A voz de Deus troveja maravilhosamente; ele faz coisas grandiosas, acima do nosso entendimento.
JOB.37.6	37	6	For he saith to the snow, Be thou {on} the earth; likewise to the small rain, and to the great rain of his strength. {likewise...: Heb. and to the shower of rain, and to the showers of rain of his strength}	0.275	positive	Ele diz à neve: 'Caia sobre a terra', e à chuva: 'Seja um forte aguaceiro'.
JOB.37.7	37	7	He sealeth up the hand of every man; that all men may know his work.	0.0	neutral	Ele paralisa o trabalho de cada homem, a fim de que todos os que ele criou conheçam a sua obra.
JOB.37.8	37	8	Then the beasts go into dens, and remain in their places.	0.0	neutral	Os animais vão para os seus esconderijos; e ficam nas suas tocas.
JOB.37.9	37	9	Out of the south cometh the whirlwind: and cold out of the north. {south: Heb. chamber} {north: Heb. scattering winds}	-0.6	negative	A tempestade sai da sua câmara, e dos ventos vem o frio.
JOB.37.10	37	10	By the breath of God frost is given: and the breadth of the waters is straitened.	0.0	neutral	O sopro de Deus produz gelo, e as vastas águas se congelam.
JOB.37.11	37	11	Also by watering he wearieth the thick cloud: he scattereth his bright cloud: {his...: Heb. the cloud of his light}	0.0125	neutral	Também carrega de umidade as nuvens, e entre elas espalha os seus relâmpagos.
JOB.37.12	37	12	And it is turned round about by his counsels: that they may do whatsoever he commandeth them upon the face of the world in the earth.	-0.2	negative	Ele as faz girar, circulando sobre a superfície de toda a terra, para fazerem tudo o que ele lhes ordenar.
JOB.37.13	37	13	He causeth it to come, whether for correction, or for his land, or for mercy. {correction: Heb. a rod}	0.0	neutral	Ele traz as nuvens, ora para castigar os homens, ora para regar a sua terra e mostrar o seu amor.
JOB.37.14	37	14	Hearken unto this, O Job: stand still, and consider the wondrous works of God.	0.0	neutral	"""Escute isto, Jó; pare e reflita nas maravilhas de Deus."
JOB.37.15	37	15	Dost thou know when God disposed them, and caused the light of his cloud to shine?	0.4	positive	Acaso você sabe como Deus comanda as nuvens e faz brilhar os seus relâmpagos?
JOB.37.16	37	16	Dost thou know the balancings of the clouds, the wondrous works of him which is perfect in knowledge?	1.0	positive	Você sabe como ficam suspensas as nuvens, essas maravilhas daquele que tem perfeito conhecimento?
JOB.37.17	37	17	How thy garments {are} warm, when he quieteth the earth by the south {wind}?	0.6	positive	Você, que em sua roupa desfalece de calor quando a terra fica amortecida sob o vento sul,
