verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
MRK.14.65	14	65	And some began to spit on him, and to cover his face, and to buffet him, and to say unto him, Prophesy: and the servants did strike him with the palms of their hands.	0.0	neutral	"Então alguns começaram a cuspir nele; vendaram-lhe os olhos e, dando-lhe murros, diziam: ""Profetize! "" E os guardas o levaram, dando-lhe tapas."
MRK.14.66	14	66	And as Peter was beneath in the palace, there cometh one of the maids of the high priest:	0.16	positive	Estando Pedro em baixo, no pátio, uma das criadas do sumo sacerdote passou por ali.
MRK.14.67	14	67	And when she saw Peter warming himself, she looked upon him, and said, And thou also wast with Jesus of Nazareth.	0.0	neutral	"Vendo Pedro a aquecer-se, olhou bem para ele e disse: ""Você também estava com Jesus, o Nazareno""."
MRK.14.68	14	68	But he denied, saying, I know not, neither understand I what thou sayest. And he went out into the porch; and the cock crew.	0.0	neutral	"Contudo ele o negou, dizendo: ""Não o conheço, nem sei do que você está falando"". E saiu para o alpendre."
MRK.14.69	14	69	And a maid saw him again, and began to say to them that stood by, This is {one} of them.	0.0	neutral	"Quando a criada o viu lá, disse novamente aos que estavam por perto: ""Esse aí é um deles""."
MRK.14.70	14	70	And he denied it again. And a little after, they that stood by said again to Peter, Surely thou art {one} of them: for thou art a Galilaean, and thy speech agreeth {thereto}.	0.1562	positive	"De novo ele negou. Pouco tempo depois, os que estavam sentados ali perto disseram a Pedro: ""Certamente você é um deles. Você é galileu! """
MRK.14.71	14	71	But he began to curse and to swear, {saying}, I know not this man of whom ye speak.	0.0	neutral	"Ele começou a se amaldiçoar e a jurar: ""Não conheço o homem de quem vocês estão falando! """
MRK.14.72	14	72	And the second time the cock crew. And Peter called to mind the word that Jesus said unto him, Before the cock crow twice, thou shalt deny me thrice. And when he thought thereon, he wept. {when...: or, he wept abundantly, or, he began to weep}	0.3	positive	"E logo o galo cantou pela segunda vez. Então Pedro se lembrou da palavra que Jesus lhe tinha dito: ""Antes que duas vezes cante o galo, você me negará três vezes"". E se pôs a chorar."
MRK.15.1	15	1	And straightway in the morning the chief priests held a consultation with the elders and scribes and the whole council, and bound Jesus, and carried {him} away, and delivered {him} to Pilate.	0.2	positive	De manhã bem cedo, os chefes dos sacerdotes com os líderes religiosos, os mestres da lei e todo o Sinédrio chegaram a uma decisão. Amarrando Jesus, levaram-no e o entregaram a Pilatos.
MRK.15.2	15	2	And Pilate asked him, Art thou the King of the Jews? And he answering said unto him, Thou sayest {it}.	0.0	neutral	"""Você é o rei dos judeus? "", perguntou Pilatos. ""Tu o dizes"", respondeu Jesus."
