verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
LUK.20.15	20	15	So they cast him out of the vineyard, and killed {him}. What therefore shall the lord of the vineyard do unto them?	-0.2	negative	"Assim, lançaram-no fora da vinha e o mataram. ""O que lhes fará então o dono da vinha?"
LUK.20.16	20	16	He shall come and destroy these husbandmen, and shall give the vineyard to others. And when they heard {it}, they said, God forbid.	-0.2	negative	"Virá, matará aqueles lavradores e dará a vinha a outros"". Quando o povo ouviu isso, disse: ""Que isso nunca aconteça! """
LUK.20.17	20	17	And he beheld them, and said, What is this then that is written, The stone which the builders rejected, the same is become the head of the corner?	0.0	neutral	"Jesus olhou fixamente para eles e perguntou: ""Então, qual é o significado do que está escrito? 'A pedra que os construtores rejeitaram tornou-se a pedra angular'."
LUK.20.18	20	18	Whosoever shall fall upon that stone shall be broken; but on whomsoever it shall fall, it will grind him to powder.	-0.4	negative	"Todo o que cair sobre esta pedra será despedaçado, e aquele sobre quem ela cair será reduzido a pó""."
LUK.20.19	20	19	And the chief priests and the scribes the same hour sought to lay hands on him; and they feared the people: for they perceived that he had spoken this parable against them.	0.0	neutral	Os mestres da lei e os chefes dos sacerdotes procuravam uma forma de prendê-lo imediatamente, pois perceberam que era contra eles que ele havia contado essa parábola. Todavia tinham medo do povo.
LUK.20.20	20	20	And they watched {him}, and sent forth spies, which should feign themselves just men, that they might take hold of his words, that so they might deliver him unto the power and authority of the governor.	0.0	neutral	Pondo-se a vigiá-lo, eles mandaram espiões, que se fingiam justos, para apanhar Jesus em alguma coisa que ele dissesse, de forma que o pudessem entregar ao poder e à autoridade do governador.
LUK.20.21	20	21	And they asked him, saying, Master, we know that thou sayest and teachest rightly, neither acceptest thou the person {of any}, but teachest the way of God truly: {truly: or, of a truth}	-0.2321	negative	"Assim, os espiões lhe perguntaram: ""Mestre, sabemos que falas e ensinas o que é correto, e que não mostras parcialidade, mas ensinas o caminho de Deus conforme a verdade."
LUK.20.22	20	22	Is it lawful for us to give tribute unto Caesar, or no?	0.0	neutral	"É certo pagar imposto a César ou não? """
LUK.20.23	20	23	But he perceived their craftiness, and said unto them, Why tempt ye me?	0.0	neutral	Ele percebeu a astúcia deles e lhes disse:
LUK.20.24	20	24	Shew me a penny. Whose image and superscription hath it? They answered and said, Caesar's.	0.0	neutral	"""Mostrem-me um denário. De quem é a imagem e a inscrição que há nele? """
