verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
REV.1.1	1	1	The Revelation of Jesus Christ, which God gave unto him, to shew unto his servants things which must shortly come to pass; and he sent and signified {it} by his angel unto his servant John:	0.0	neutral	Revelação de Jesus Cristo, que Deus lhe deu para mostrar aos seus servos o que em breve há de acontecer. Ele enviou o seu anjo para torná-la conhecida ao seu servo João,
REV.1.2	1	2	Who bare record of the word of God, and of the testimony of Jesus Christ, and of all things that he saw.	0.05	neutral	que dá testemunho de tudo o que viu, isto é, a palavra de Deus e o testemunho de Jesus Cristo.
REV.1.3	1	3	Blessed {is} he that readeth, and they that hear the words of this prophecy, and keep those things which are written therein: for the time {is} at hand.	0.0	neutral	Feliz aquele que lê as palavras desta profecia e felizes aqueles que ouvem e guardam o que nela está escrito, porque o tempo está próximo.
REV.1.4	1	4	John to the seven churches which are in Asia: Grace {be} unto you, and peace, from him which is, and which was, and which is to come; and from the seven Spirits which are before his throne;	0.0	neutral	João às sete igrejas da província da Ásia: A vocês, graça e paz da parte daquele que é, que era e que há de vir, dos sete espíritos que estão diante do seu trono,
REV.1.5	1	5	And from Jesus Christ, {who is} the faithful witness, {and} the first begotten of the dead, and the prince of the kings of the earth. Unto him that loved us, and washed us from our sins in his own blood,	0.3375	positive	e de Jesus Cristo, que é a testemunha fiel, o primogênito dentre os mortos e o soberano dos reis da terra. Ele que nos ama e nos libertou dos nossos pecados por meio do seu sangue,
REV.1.6	1	6	And hath made us kings and priests unto God and his Father; to him {be} glory and dominion for ever and ever. Amen.	0.0	neutral	e nos constituiu reino e sacerdotes para servir a seu Deus e Pai. A ele sejam glória e poder para todo o sempre! Amém.
REV.1.7	1	7	Behold, he cometh with clouds; and every eye shall see him, and they {also} which pierced him: and all kindreds of the earth shall wail because of him. Even so, Amen.	0.0	neutral	Eis que ele vem com as nuvens, e todo olho o verá, até mesmo aqueles que o traspassaram; e todos os povos da terra se lamentarão por causa dele. Assim será! Amém.
REV.1.8	1	8	I am Alpha and Omega, the beginning and the ending, saith the Lord, which is, and which was, and which is to come, the Almighty.	0.0	neutral	"""Eu sou o Alfa e o Ômega"", diz o Senhor Deus, ""o que é, o que era e o que há de vir, o Todo-poderoso""."
REV.1.9	1	9	I John, who also am your brother, and companion in tribulation, and in the kingdom and patience of Jesus Christ, was in the isle that is called Patmos, for the word of God, and for the testimony of Jesus Christ.	0.0	neutral	Eu, João, irmão e companheiro de vocês no sofrimento, no Reino e na perseverança em Jesus, estava na ilha de Patmos, por causa da palavra de Deus e do testemunho de Jesus.
REV.1.10	1	10	I was in the Spirit on the Lord's day, and heard behind me a great voice, as of a trumpet,	0.2	positive	No dia do Senhor achei-me no Espírito e ouvi por trás de mim uma voz forte, como de trombeta,
