verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JOS.22.26	22	26	Therefore we said, Let us now prepare to build us an altar, not for burnt offering, nor for sacrifice:	0.0	neutral	"""É por isso que resolvemos construir um altar, não para holocaustos ou sacrifícios,"
JOS.22.27	22	27	But {that} it {may be} a witness between us, and you, and our generations after us, that we might do the service of the LORD before him with our burnt offerings, and with our sacrifices, and with our peace offerings; that your children may not say to our children in time to come, Ye have no part in the LORD.	0.0	neutral	mas, para que esse altar sirva de testemunho entre nós e vocês e as gerações futuras, de que cultuaremos o Senhor em seu santuário com nossos holocaustos, sacrifícios e ofertas de comunhão. Então, no futuro, os seus descendentes não poderão dizer aos nossos: 'Vocês não têm parte com o Senhor'.
JOS.22.28	22	28	Therefore said we, that it shall be, when they should {so} say to us or to our generations in time to come, that we may say {again}, Behold the pattern of the altar of the LORD, which our fathers made, not for burnt offerings, nor for sacrifices; but it {is} a witness between us and you.	0.0	neutral	"""E dissemos: Se algum dia disserem isso a nós ou aos nossos descendentes, responderemos: Vejam a réplica do altar do Senhor que os nossos antepassados construíram, não para holocaustos ou sacrifícios, mas como testemunho entre nós e vocês."
JOS.22.29	22	29	God forbid that we should rebel against the LORD, and turn this day from following the LORD, to build an altar for burnt offerings, for meat offerings, or for sacrifices, beside the altar of the LORD our God that {is} before his tabernacle.	0.0	neutral	"""Longe de nós nos rebelarmos contra o Senhor e nos afastarmos dele, construindo para holocaustos, ofertas de cereal e sacrifícios um altar que não seja o altar do Senhor, do nosso Deus, que está diante do seu tabernáculo! """
JOS.22.30	22	30	And when Phinehas the priest, and the princes of the congregation and heads of the thousands of Israel which {were} with him, heard the words that the children of Reuben and the children of Gad and the children of Manasseh spake, it pleased them. {pleased...: Heb. was good in their eyes}	0.5667	positive	Quando o sacerdote Finéias e os líderes da comunidade, os chefes dos clãs dos israelitas, ouviram o que os homens de Rúben, de Gade e de Manassés disseram, deram-se por satisfeitos.
JOS.22.31	22	31	And Phinehas the son of Eleazar the priest said unto the children of Reuben, and to the children of Gad, and to the children of Manasseh, This day we perceive that the LORD {is} among us, because ye have not committed this trespass against the LORD: now ye have delivered the children of Israel out of the hand of the LORD. {now: Heb. then}	0.0	neutral	"E Finéias, filho do sacerdote Eleazar, disse a Rúben, a Gade e a Manassés: ""Hoje sabemos que o Senhor está conosco, pois vocês não foram infiéis para com o Senhor. E assim vocês livraram os israelitas da mão do Senhor""."
JOS.22.32	22	32	And Phinehas the son of Eleazar the priest, and the princes, returned from the children of Reuben, and from the children of Gad, out of the land of Gilead, unto the land of Canaan, to the children of Israel, and brought them word again.	0.0	neutral	Então Finéias, filho do sacerdote Eleazar, e os líderes voltaram do encontro com os homens de Rúben e de Gade em Gileade, e foram para Canaã dar relatório aos outros israelitas.
JOS.22.33	22	33	And the thing pleased the children of Israel; and the children of Israel blessed God, and did not intend to go up against them in battle, to destroy the land wherein the children of Reuben and Gad dwelt.	0.15	positive	Estes se alegraram com o relatório e louvaram a Deus. E não mais falaram em guerrear contra as tribos de Rúben e de Gade, nem em devastar a região onde eles viviam.
JOS.22.34	22	34	And the children of Reuben and the children of Gad called the altar {Ed}: for it {shall be} a witness between us that the LORD {is} God. {Ed: that is, A witness}	0.0	neutral	Os homens de Rúben e de Gade deram ao altar este nome: Um Testemunho Entre Nós de que o Senhor é Deus.
JOS.23.1	23	1	And it came to pass a long time after that the LORD had given rest unto Israel from all their enemies round about, that Joshua waxed old {and} stricken in age. {stricken...: Heb. come into days}	-0.05	neutral	Passado muito tempo, depois que o Senhor concedeu a Israel descanso de todos os inimigos ao redor, Josué, agora velho, de idade muito avançada,
JOS.23.2	23	2	And Joshua called for all Israel, {and} for their elders, and for their heads, and for their judges, and for their officers, and said unto them, I am old {and} stricken in age:	0.1	neutral	"convocou todo o Israel, com as autoridades, os líderes, os juízes e os oficiais, e lhes disse: ""Estou velho, com idade muito avançada."
JOS.23.3	23	3	And ye have seen all that the LORD your God hath done unto all these nations because of you; for the LORD your God {is} he that hath fought for you.	0.0	neutral	Vocês mesmos viram tudo o que o Senhor, o seu Deus, fez com todas essas nações por amor a vocês; foi o Senhor, o seu Deus, que lutou por vocês.
JOS.23.4	23	4	Behold, I have divided unto you by lot these nations that remain, to be an inheritance for your tribes, from Jordan, with all the nations that I have cut off, even unto the great sea westward. {westward: Heb. at the sunset}	0.8	positive	Lembrem-se de que eu reparti por herança para as tribos de vocês toda a terra das nações, tanto as que ainda restam como as que conquistei entre o Jordão e o mar Grande, a oeste.
JOS.23.5	23	5	And the LORD your God, he shall expel them from before you, and drive them from out of your sight; and ye shall possess their land, as the LORD your God hath promised unto you.	0.0	neutral	O Senhor, o seu Deus, as expulsará da presença de vocês. Ele as empurrará de diante de vocês, e vocês se apossarão da terra delas, como o Senhor lhes prometeu.
JOS.23.6	23	6	Be ye therefore very courageous to keep and to do all that is written in the book of the law of Moses, that ye turn not aside therefrom {to} the right hand or {to} the left;	0.1619	positive	"""Façam todo o esforço para obedecer e cumprir tudo o que está escrito no Livro da Lei de Moisés, sem se desviar, nem para a direita nem para a esquerda."
JOS.23.7	23	7	That ye come not among these nations, these that remain among you; neither make mention of the name of their gods, nor cause to swear {by them}, neither serve them, nor bow yourselves unto them:	0.0	neutral	Não se associem com essas nações que restam no meio de vocês. Não invoquem os nomes dos seus deuses nem jurem por eles. Não lhes prestem culto nem se inclinem perante eles.
JOS.23.8	23	8	But cleave unto the LORD your God, as ye have done unto this day. {But cleave...: or, For if ye will cleave, etc}	0.0	neutral	Mas apeguem-se somente ao Senhor, ao seu Deus, como fizeram até hoje.
JOS.23.9	23	9	For the LORD hath driven out from before you great nations and strong: but {as for} you, no man hath been able to stand before you unto this day. {For the LORD...: or, Then the LORD will drive}	0.5778	positive	"""O Senhor expulsou de diante de vocês nações grandes e poderosas; até hoje ninguém conseguiu resistir a vocês."
JOS.23.10	23	10	One man of you shall chase a thousand: for the LORD your God, he {it is} that fighteth for you, as he hath promised you.	0.0	neutral	Um só de vocês faz fugir mil, pois o Senhor, o seu Deus, luta por vocês, conforme prometeu.
JOS.23.11	23	11	Take good heed therefore unto yourselves, that ye love the LORD your God. {yourselves: Heb. your souls}	0.6	positive	Por isso dediquem-se com zelo a amar o Senhor, o seu Deus.
JOS.23.12	23	12	Else if ye do in any wise go back, and cleave unto the remnant of these nations, {even} these that remain among you, and shall make marriages with them, and go in unto them, and they to you:	0.35	positive	"""Se, todavia, vocês se afastarem e se aliarem aos sobreviventes dessas nações que restam no meio de vocês, e se casarem com eles e se associarem com eles,"
JOS.23.13	23	13	Know for a certainty that the LORD your God will no more drive out {any of} these nations from before you; but they shall be snares and traps unto you, and scourges in your sides, and thorns in your eyes, until ye perish from off this good land which the LORD your God hath given you.	0.225	positive	estejam certos de que o Senhor, o seu Deus, já não expulsará essas nações de diante de vocês. Ao contrário, elas se tornarão armadilhas e laços para vocês, chicote em suas costas e espinhos em seus olhos, até que vocês desapareçam desta boa terra que o Senhor, o seu Deus, deu a vocês.
JOS.23.14	23	14	And, behold, this day I {am} going the way of all the earth: and ye know in all your hearts and in all your souls, that not one thing hath failed of all the good things which the LORD your God spake concerning you; all are come to pass unto you, {and} not one thing hath failed thereof.	-0.1	neutral	"""Agora estou prestes a ir pelo caminho de toda a terra. Vocês sabem, lá no fundo do coração e da alma, que nenhuma das boas promessas que o Senhor, o seu Deus, lhes fez deixou de cumprir-se. Todas se cumpriram; nenhuma delas falhou."
JOS.23.15	23	15	Therefore it shall come to pass, {that} as all good things are come upon you, which the LORD your God promised you; so shall the LORD bring upon you all evil things, until he have destroyed you from off this good land which the LORD your God hath given you.	0.1333	positive	Mas, assim como cada uma das boas promessas do Senhor, do seu Deus, se cumpriu, também o Senhor fará cumprir-se em vocês todo o mal com que os ameaçou, até eliminá-los desta boa terra que lhes deu.
JOS.23.16	23	16	When ye have transgressed the covenant of the LORD your God, which he commanded you, and have gone and served other gods, and bowed yourselves to them; then shall the anger of the LORD be kindled against you, and ye shall perish quickly from off the good land which he hath given unto you.	0.0521	neutral	"Se vocês violarem a aliança que o Senhor, o seu Deus, lhes ordenou, e passarem a cultuar outros deuses e a inclinar-se diante deles, a ira do Senhor se acenderá contra vocês, e vocês logo desaparecerão da boa terra que ele lhes deu""."
JOS.24.1	24	1	And Joshua gathered all the tribes of Israel to Shechem, and called for the elders of Israel, and for their heads, and for their judges, and for their officers; and they presented themselves before God.	0.0	neutral	Então Josué reuniu todas as tribos de Israel em Siquém. Convocou as autoridades, os líderes, os juízes e os oficiais de Israel, e eles compareceram diante de Deus.
JOS.24.2	24	2	And Joshua said unto all the people, Thus saith the LORD God of Israel, Your fathers dwelt on the other side of the flood in old time, {even} Terah, the father of Abraham, and the father of Nachor: and they served other gods.	-0.05	neutral	"Josué disse a todo o povo: ""Assim diz o Senhor, o Deus de Israel: 'Há muito tempo, os seus antepassados, inclusive Terá, pai de Abraão e de Naor, viviam além do Eufrates e prestavam culto a outros deuses."
JOS.24.3	24	3	And I took your father Abraham from the other side of the flood, and led him throughout all the land of Canaan, and multiplied his seed, and gave him Isaac.	-0.125	negative	Mas eu tirei seu pai Abraão da terra dalém do Eufrates e o conduzi por toda a Canaã e lhe dei muitos descendentes. Dei-lhe Isaque,
JOS.24.4	24	4	And I gave unto Isaac Jacob and Esau: and I gave unto Esau mount Seir, to possess it; but Jacob and his children went down into Egypt.	-0.1556	negative	e a Isaque dei Jacó e Esaú. A Esaú dei os montes de Seir, mas Jacó e seus filhos desceram para o Egito.
JOS.24.5	24	5	I sent Moses also and Aaron, and I plagued Egypt, according to that which I did among them: and afterward I brought you out.	0.0	neutral	""" 'Então enviei Moisés e Arão e feri os egípcios com pragas, com as quais os castiguei, e depois tirei vocês de lá."
JOS.24.6	24	6	And I brought your fathers out of Egypt: and ye came unto the sea; and the Egyptians pursued after your fathers with chariots and horsemen unto the Red sea.	0.0	neutral	Quando tirei os seus antepassados do Egito, vocês vieram para o mar, e os egípcios os perseguiram com carros de guerra e cavaleiros até o mar Vermelho.
JOS.24.7	24	7	And when they cried unto the LORD, he put darkness between you and the Egyptians, and brought the sea upon them, and covered them; and your eyes have seen what I have done in Egypt: and ye dwelt in the wilderness a long season.	-0.05	neutral	Mas os seus antepassados clamaram a mim, e eu coloquei trevas entre vocês e os egípcios; fiz voltar o mar sobre eles e os encobrir. Vocês viram com os seus próprios olhos o que eu fiz com os egípcios. Depois disso vocês viveram no deserto longo tempo.
JOS.24.8	24	8	And I brought you into the land of the Amorites, which dwelt on the other side Jordan; and they fought with you: and I gave them into your hand, that ye might possess their land; and I destroyed them from before you.	-0.125	negative	""" 'Eu os trouxe para a terra dos amorreus que viviam a leste do Jordão. Eles lutaram contra vocês, mas eu os entreguei nas suas mãos. Eu os destruí diante de vocês, e vocês se apossaram da terra deles."
JOS.24.9	24	9	Then Balak the son of Zippor, king of Moab, arose and warred against Israel, and sent and called Balaam the son of Beor to curse you:	0.0	neutral	Quando Balaque, rei de Moabe, filho de Zipor, se preparava para lutar contra Israel, mandou buscar Balaão, filho de Beor, para lançar maldição sobre vocês.
JOS.24.10	24	10	But I would not hearken unto Balaam; therefore he blessed you still: so I delivered you out of his hand.	0.0	neutral	Mas eu não quis ouvir Balaão, de modo que ele os abençoou vez após vez, e eu os livrei das mãos dele.
JOS.24.11	24	11	And ye went over Jordan, and came unto Jericho: and the men of Jericho fought against you, the Amorites, and the Perizzites, and the Canaanites, and the Hittites, and the Girgashites, the Hivites, and the Jebusites; and I delivered them into your hand.	0.0	neutral	""" 'Depois vocês atravessaram o Jordão e chegaram a Jericó. Os chefes de Jericó lutaram contra vocês, assim como os amorreus, os ferezeus, os cananeus, os hititas, os girgaseus, os heveus e os jebuseus, mas eu os entreguei nas mãos de vocês."
