verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
JOL.1.1	1	1	The word of the LORD that came to Joel the son of Pethuel.	0.0	neutral	A palavra do Senhor que veio a Joel, filho de Petuel.
JOL.1.2	1	2	Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or even in the days of your fathers?	0.1	neutral	Ouçam isto, anciãos; escutem, todos os habitantes do país. Já aconteceu algo assim nos seus dias? Ou nos dias dos seus antepassados?
JOL.1.3	1	3	Tell ye your children of it, and {let} your children {tell} their children, and their children another generation.	0.0	neutral	Contem o que aconteceu aos seus filhos, e eles aos seus netos, e os seus netos, à geração seguinte.
JOL.1.4	1	4	That which the palmerworm hath left hath the locust eaten; and that which the locust hath left hath the cankerworm eaten; and that which the cankerworm hath left hath the caterpiller eaten. {That which the palmerworm...: Heb. The residue of the palmerworm}	0.0	neutral	O que o gafanhoto cortador deixou o gafanhoto peregrino comeu; o que o gafanhoto peregrino deixou o gafanhoto devastador comeu; o que o gafanhoto devastador deixou o gafanhoto devorador comeu.
JOL.1.5	1	5	Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth.	0.1364	positive	Acordem, bêbados, e chorem! Lamentem todos vocês, bebedores de vinho; gritem por causa do vinho novo, pois ele foi tirado dos seus lábios.
JOL.1.6	1	6	For a nation is come up upon my land, strong, and without number, whose teeth {are} the teeth of a lion, and he hath the cheek teeth of a great lion.	0.6167	positive	Uma nação invadiu a minha terra, poderosa e inumerável; seus dentes são dentes de leão, suas presas são de leoa.
JOL.1.7	1	7	He hath laid my vine waste, and barked my fig tree: he hath made it clean bare, and cast {it} away; the branches thereof are made white. {barked...: Heb. laid my fig tree for a barking}	0.0542	neutral	Arrasou as minhas videiras e arruinou as minhas figueiras. Arrancou-lhes a casca, e derrubou-as, deixando brancos os seus galhos.
JOL.1.8	1	8	Lament like a virgin girded with sackcloth for the husband of her youth.	0.0	neutral	Pranteiem como uma virgem em vestes de luto que lamenta pelo noivo da sua mocidade.
JOL.1.9	1	9	The meat offering and the drink offering is cut off from the house of the LORD; the priests, the LORD'S ministers, mourn.	0.0	neutral	As ofertas de cereal e as ofertas derramadas foram eliminadas do templo do Senhor. Os sacerdotes, que ministram diante do Senhor, estão de luto.
JOL.1.10	1	10	The field is wasted, the land mourneth; for the corn is wasted: the new wine is dried up, the oil languisheth.	-0.1159	negative	Os campos estão arruinados, a terra está seca; o trigo está destruído, o vinho novo acabou, o azeite está em falta.
JOL.1.11	1	11	Be ye ashamed, O ye husbandmen; howl, O ye vinedressers, for the wheat and for the barley; because the harvest of the field is perished.	0.0	neutral	Desesperem-se, agricultores, chorem, produtores de vinho; fiquem aflitos pelo trigo e pela cevada, porque a colheita foi destruída.
JOL.1.12	1	12	The vine is dried up, and the fig tree languisheth; the pomegranate tree, the palm tree also, and the apple tree, {even} all the trees of the field, are withered: because joy is withered away from the sons of men.	0.3	positive	A vinha está seca, e a figueira murchou; a romãzeira, a palmeira e a macieira, todas as árvores do campo secaram. Secou-se, mais ainda, a alegria dos homens.
JOL.1.13	1	13	Gird yourselves, and lament, ye priests: howl, ye ministers of the altar: come, lie all night in sackcloth, ye ministers of my God: for the meat offering and the drink offering is withholden from the house of your God.	0.0	neutral	Ponham vestes de luto, ó sacerdotes, e pranteiem; chorem alto, vocês que ministram perante o altar. Venham, passem a noite vestidos de luto, vocês que ministram perante o meu Deus; pois as ofertas de cereal e as ofertas derramadas foram suprimidas do templo do seu Deus.
JOL.1.14	1	14	Sanctify ye a fast, call a solemn assembly, gather the elders {and} all the inhabitants of the land {into} the house of the LORD your God, and cry unto the LORD, {solemn...: or, day of restraint}	0.2	positive	Decretem um jejum santo; convoquem uma assembléia sagrada. Reúnam as autoridades e todos os habitantes do país no templo do Senhor, do seu Deus, e clamem ao Senhor.
JOL.1.15	1	15	Alas for the day! for the day of the LORD {is} at hand, and as a destruction from the Almighty shall it come.	-0.5	negative	Ah! Aquele dia! Sim, o dia do Senhor está próximo; como destruição poderosa da parte do Todo-poderoso, ele virá.
JOL.1.16	1	16	Is not the meat cut off before our eyes, {yea}, joy and gladness from the house of our God?	0.8	positive	Não é verdade que a comida foi eliminada diante dos nossos próprios olhos, e que a alegria e a satisfação foram suprimidas, do templo do nosso Deus?
JOL.1.17	1	17	The seed is rotten under their clods, the garners are laid desolate, the barns are broken down; for the corn is withered. {seed: Heb. grains}	-0.2778	negative	As sementes estão murchas debaixo dos torrões de terra. Os celeiros estão em ruínas, os depósitos de cereal foram derrubados, pois a colheita se perdeu.
JOL.1.18	1	18	How do the beasts groan! the herds of cattle are perplexed, because they have no pasture; yea, the flocks of sheep are made desolate.	0.4	positive	Como está mugindo o gado! As manadas andam agitadas porque não têm pasto; até os rebanhos de ovelhas estão sendo castigados.
JOL.1.19	1	19	O LORD, to thee will I cry: for the fire hath devoured the pastures of the wilderness, and the flame hath burned all the trees of the field. {pastures: or, habitations}	0.0	neutral	A ti, Senhor, eu clamo, pois o fogo devorou as pastagens e as chamas consumiram todas as árvores do campo.
JOL.1.20	1	20	The beasts of the field cry also unto thee: for the rivers of waters are dried up, and the fire hath devoured the pastures of the wilderness.	-0.2	negative	Até os animais do campo clamam a ti, pois os canais de água se secaram e o fogo devorou as pastagens.
JOL.2.1	2	1	Blow ye the trumpet in Zion, and sound an alarm in my holy mountain: let all the inhabitants of the land tremble: for the day of the LORD cometh, for {it is} nigh at hand; {trumpet: or, cornet}	0.4	positive	Toquem a trombeta em Sião; dêem o alarme no meu santo monte. Tremam todos os habitantes do país, pois o dia do Senhor está chegando. Está próximo!
