verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
NUM.1.1	1	1	And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first {day} of the second month, in the second year after they were come out of the land of Egypt, saying,	0.0833	neutral	Y HABLO Jehová á Moisés en el desierto de Sinaí, en el tabernáculo del testimonio, en el primero del mes segundo, en el segundo año de su salida de la tierra de Egipto, diciendo:
NUM.1.2	1	2	Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of {their} names, every male by their polls;	0.0	neutral	Tomad el encabezamiento de toda la congregación de los hijos de Israel por sus familias, por las casas de sus padres, con la cuenta de los nombres, todos los varones por sus cabezas:
NUM.1.3	1	3	From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.	0.3	positive	De veinte años arriba, todos los que pueden salir á la guerra en Israel, los contaréis tú y Aarón por sus cuadrillas.
NUM.1.4	1	4	And with you there shall be a man of every tribe; every one head of the house of his fathers.	0.0	neutral	Y estará con vosotros un varón de cada tribu, cada uno cabeza de la casa de sus padres.
NUM.1.5	1	5	And these {are} the names of the men that shall stand with you: of {the tribe of} Reuben; Elizur the son of Shedeur.	0.0	neutral	Y estos son los nombres de los varones que estarán con vosotros: De la tribu de Rubén, Elisur hijo de Sedeur.
NUM.1.6	1	6	Of Simeon; Shelumiel the son of Zurishaddai.	0.0	neutral	De Simeón, Selumiel hijo de Zurisaddai.
NUM.1.7	1	7	Of Judah; Nahshon the son of Amminadab.	0.0	neutral	De Judá, Naasón hijo de Aminadab.
NUM.1.8	1	8	Of Issachar; Nethaneel the son of Zuar.	0.0	neutral	De Issachâr, Nathanael hijo de Suar.
NUM.1.9	1	9	Of Zebulun; Eliab the son of Helon.	0.0	neutral	De Zabulón, Eliab hijo de Helón.
NUM.1.10	1	10	Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.	0.0	neutral	De los hijos de José: de Ephraim, Elisama hijo de Ammiud; de Manasés, Gamaliel hijo de Pedasur.
NUM.1.11	1	11	Of Benjamin; Abidan the son of Gideoni.	0.0	neutral	De Benjamín, Abidán hijo de Gedeón.
NUM.1.12	1	12	Of Dan; Ahiezer the son of Ammishaddai.	0.0	neutral	De Dan, Ahiezer hijo de Ammisaddai.
NUM.1.13	1	13	Of Asher; Pagiel the son of Ocran.	0.0	neutral	De Aser, Phegiel hijo de Ocrán.
