verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
MRK.14.65	14	65	And some began to spit on him, and to cover his face, and to buffet him, and to say unto him, Prophesy: and the servants did strike him with the palms of their hands.	0.0	neutral	Y algunos comenzaron á escupir en él, y cubrir su rostro, y á darle bofetadas, y decirle: Profetiza. Y los servidores le herían de bofetadas.
MRK.14.66	14	66	And as Peter was beneath in the palace, there cometh one of the maids of the high priest:	0.16	positive	Y estando Pedro abajo en el atrio, vino una de las criadas del sumo sacerdote;
MRK.14.67	14	67	And when she saw Peter warming himself, she looked upon him, and said, And thou also wast with Jesus of Nazareth.	0.0	neutral	Y como vió á Pedro que se calentaba, mirándole, dice: Y tú con Jesús el Nazareno estabas.
MRK.14.68	14	68	But he denied, saying, I know not, neither understand I what thou sayest. And he went out into the porch; and the cock crew.	0.0	neutral	Mas él negó, diciendo: No conozco, ni sé lo que dices. Y se salió fuera á la entrada; y cantó el gallo.
MRK.14.69	14	69	And a maid saw him again, and began to say to them that stood by, This is {one} of them.	0.0	neutral	Y la criada viéndole otra vez, comenzó á decir á los que estaban allí: Este es de ellos.
MRK.14.70	14	70	And he denied it again. And a little after, they that stood by said again to Peter, Surely thou art {one} of them: for thou art a Galilaean, and thy speech agreeth {thereto}.	0.1562	positive	Mas él negó otra vez. Y poco después, los que estaban allí dijeron otra vez á Pedro: Verdaderamente tú eres de ellos; porque eres Galileo, y tu habla es semejante.
MRK.14.71	14	71	But he began to curse and to swear, {saying}, I know not this man of whom ye speak.	0.0	neutral	Y él comenzó á maldecir y á jurar: No conozco á este hombre de quien habláis.
MRK.14.72	14	72	And the second time the cock crew. And Peter called to mind the word that Jesus said unto him, Before the cock crow twice, thou shalt deny me thrice. And when he thought thereon, he wept. {when...: or, he wept abundantly, or, he began to weep}	0.3	positive	Y el gallo cantó la segunda vez: y Pedro se acordó de las palabras que Jesús le había dicho: Antes que el gallo cante dos veces, me negarás tres veces. Y pensando en esto, lloraba.
MRK.15.1	15	1	And straightway in the morning the chief priests held a consultation with the elders and scribes and the whole council, and bound Jesus, and carried {him} away, and delivered {him} to Pilate.	0.2	positive	Y LUEGO por la mañana, habiendo tenido consejo los príncipes de los sacerdotes con los ancianos, y con los escribas, y con todo el concilio, llevaron á Jesús atado, y le entregaron á Pilato.
MRK.15.2	15	2	And Pilate asked him, Art thou the King of the Jews? And he answering said unto him, Thou sayest {it}.	0.0	neutral	Y Pilato le preguntó: ¿Eres tú el Rey de los Judíos? Y respondiendo él, le dijo: Tú lo dices.
MRK.15.3	15	3	And the chief priests accused him of many things: but he answered nothing.	0.5	positive	Y los príncipes de los sacerdotes le acusaban mucho.
MRK.15.4	15	4	And Pilate asked him again, saying, Answerest thou nothing? behold how many things they witness against thee.	0.5	positive	Y le preguntó otra vez Pilato, diciendo: ¿No respondes algo? Mira de cuántas cosas te acusan.
MRK.15.5	15	5	But Jesus yet answered nothing; so that Pilate marvelled.	0.0	neutral	Mas Jesús ni aun con eso respondió; de modo que Pilato se maravillaba.
MRK.15.6	15	6	Now at {that} feast he released unto them one prisoner, whomsoever they desired.	0.0	neutral	Empero en el día de la fiesta les soltaba un preso, cualquiera que pidiesen.
MRK.15.7	15	7	And there was {one} named Barabbas, {which lay} bound with them that had made insurrection with him, who had committed murder in the insurrection.	0.0	neutral	Y había uno, que se llamaba Barrabás, preso con sus compañeros de motín que habían hecho muerte en una revuelta.
MRK.15.8	15	8	And the multitude crying aloud began to desire {him to do} as he had ever done unto them.	-0.2	negative	Y viniendo la multitud, comenzó á pedir hiciese como siempre les había hecho.
MRK.15.9	15	9	But Pilate answered them, saying, Will ye that I release unto you the King of the Jews?	0.0	neutral	Y Pilato les respondió, diciendo: ¿Queréis que os suelte al Rey de los Judíos?
MRK.15.10	15	10	For he knew that the chief priests had delivered him for envy.	0.0	neutral	Porque conocía que por envidia le habían entregado los príncipes de los sacerdotes.
MRK.15.11	15	11	But the chief priests moved the people, that he should rather release Barabbas unto them.	0.0	neutral	Mas los príncipes de los sacerdotes incitaron á la multitud, que les soltase antes á Barrabás.
MRK.15.12	15	12	And Pilate answered and said again unto them, What will ye then that I shall do {unto him} whom ye call the King of the Jews?	0.0	neutral	Y respondiendo Pilato, les dice otra vez: ¿Qué pues queréis que haga del que llamáis Rey de los Judíos?
MRK.15.13	15	13	And they cried out again, Crucify him.	0.0	neutral	Y ellos volvieron á dar voces: Crucifícale.
MRK.15.14	15	14	Then Pilate said unto them, Why, what evil hath he done? And they cried out the more exceedingly, Crucify him.	-0.25	negative	Mas Pilato les decía: ¿Pues qué mal ha hecho? Y ellos daban más voces: Crucifícale.
MRK.15.15	15	15	And {so} Pilate, willing to content the people, released Barabbas unto them, and delivered Jesus, when he had scourged {him}, to be crucified.	0.25	positive	Y Pilato, queriendo satisfacer al pueblo, les soltó á Barrabás, y entregó á Jesús, después de azotarle, para que fuese crucificado.
MRK.15.16	15	16	And the soldiers led him away into the hall, called Praetorium; and they call together the whole band. {Praetorium: or, the palace, or, hall of audience}	0.2	positive	Entonces los soldados le llevaron dentro de la sala, es á saber al Pretorio; y convocan toda la cohorte.
MRK.15.17	15	17	And they clothed him with purple, and platted a crown of thorns, and put it about his {head},	0.0	neutral	Y le visten de púrpura; y poniéndole una corona tejida de espinas,
MRK.15.18	15	18	And began to salute him, Hail, King of the Jews!	0.0	neutral	Comenzaron luego á saludarle: ¡Salve, Rey de los Judíos!
MRK.15.19	15	19	And they smote him on the head with a reed, and did spit upon him, and bowing {their} knees worshipped him.	0.0	neutral	Y le herían en la cabeza con una caña, y escupían en él, y le adoraban hincadas las rodillas.
MRK.15.20	15	20	And when they had mocked him, they took off the purple from him, and put his own clothes on him, and led him out to crucify him.	0.6	positive	Y cuando le hubieron escarnecido, le desnudaron la púrpura, y le vistieron sus propios vestidos, y le sacaron para crucificarle.
MRK.15.21	15	21	And they compel one Simon a Cyrenian, who passed by, coming out of the country, the father of Alexander and Rufus, to bear his cross.	0.0	neutral	Y cargaron á uno que pasaba, Simón Cireneo, padre de Alejandro y de Rufo, que venía del campo, para que llevase su cruz.
MRK.15.22	15	22	And they bring him unto the place Golgotha, which is, being interpreted, The place of a skull.	0.0	neutral	Y le llevan al lugar de Gólgotha, que declarado quiere decir: Lugar de la Calavera.
MRK.15.23	15	23	And they gave him to drink wine mingled with myrrh: but he received {it} not.	0.0	neutral	Y le dieron á beber vino mezclado con mirra; mas él no lo tomó.
MRK.15.24	15	24	And when they had crucified him, they parted his garments, casting lots upon them, what every man should take.	0.0	neutral	Y cuando le hubieron crucificado, repartieron sus vestidos, echando suertes sobre ellos, qué llevaría cada uno.
MRK.15.25	15	25	And it was the third hour, and they crucified him.	0.0	neutral	Y era la hora de las tres cuando le crucificaron.
MRK.15.26	15	26	And the superscription of his accusation was written over, THE KING OF THE JEWS.	0.0	neutral	Y el título escrito de su causa era: EL REY DE LOS JUDIOS.
MRK.15.27	15	27	And with him they crucify two thieves; the one on his right hand, and the other on his left.	0.0536	neutral	Y crucificaron con él dos ladrones, uno á su derecha, y el otro á su izquierda.
MRK.15.28	15	28	And the scripture was fulfilled, which saith, And he was numbered with the transgressors.	0.0	neutral	Y se cumplió la Escritura, que dice: Y con los inicuos fué contado.
MRK.15.29	15	29	And they that passed by railed on him, wagging their heads, and saying, Ah, thou that destroyest the temple, and buildest {it} in three days,	0.0	neutral	Y los que pasaban le denostaban, meneando sus cabezas, y diciendo: ¡Ah! tú que derribas el templo de Dios, y en tres días lo edificas,
MRK.15.30	15	30	Save thyself, and come down from the cross.	-0.0778	neutral	Sálvate á ti mismo, y desciende de la cruz.
MRK.15.31	15	31	Likewise also the chief priests mocking said among themselves with the scribes, He saved others; himself he cannot save.	0.0	neutral	Y de esta manera también los príncipes de los sacerdotes escarneciendo, decían unos á otros, con los escribas: A otros salvó, á sí mismo no se puede salvar.
