verse_id	chapter	verse	text_en	polarity_en	label_en	text_pt
OBA.1.1	1	1	The vision of Obadiah. Thus saith the Lord GOD concerning Edom; We have heard a rumour from the LORD, and an ambassador is sent among the heathen, Arise ye, and let us rise up against her in battle.	0.0	neutral	"Visão de Obadias. Assim diz o Soberano, o SENHOR, a respeito de Edom: Nós ouvimos uma mensagem do SENHOR. Um mensageiro foi enviado às nações para dizer: ""Levantem-se! Vamos atacar Edom! """
OBA.1.2	1	2	Behold, I have made thee small among the heathen: thou art greatly despised.	0.275	positive	"""Veja! Eu tornarei você pequeno entre as nações. Será completamente desprezado!"
OBA.1.3	1	3	The pride of thine heart hath deceived thee, thou that dwellest in the clefts of the rock, whose habitation {is} high; that saith in his heart, Who shall bring me down to the ground?	0.0022	neutral	A arrogância do seu coração o tem enganado, você que vive nas cavidades das rochas e constrói sua morada no alto dos montes; você que diz a si mesmo: 'Quem pode me derrubar? '
OBA.1.4	1	4	Though thou exalt {thyself} as the eagle, and though thou set thy nest among the stars, thence will I bring thee down, saith the LORD.	-0.1556	negative	"Ainda que você suba tão alto como a águia e faça o seu ninho entre as estrelas, dali eu o derrubarei"", declara o SENHOR."
OBA.1.5	1	5	If thieves came to thee, if robbers by night, (how art thou cut off!) would they not have stolen till they had enough? if the grapegatherers came to thee, would they not leave {some} grapes? {some...: or, gleanings?}	0.0	neutral	"""Se ladrões o atacassem, saqueadores no meio da noite — como você está destruído! — não roubariam apenas quanto achassem suficiente? Se os que colhem uvas chegassem a você, não deixariam para trás pelo menos alguns cachos?"
OBA.1.6	1	6	How are {the things} of Esau searched out! {how} are his hidden things sought up!	-0.2083	negative	Entretanto, como Esaú foi saqueado! Como foram pilhados os seus tesouros ocultos!
OBA.1.7	1	7	All the men of thy confederacy have brought thee {even} to the border: the men that were at peace with thee have deceived thee, {and} prevailed against thee; {they that eat} thy bread have laid a wound under thee: {there is} none understanding in him. {that were...: Heb. of thy peace} {they...: Heb. the men of thy bread} {in him: or, of it}	-0.75	negative	"Empurram você para as fronteiras todos os seus aliados; enganam você e o sobrepujarão os seus melhores amigos; aqueles que comem com você lhe armam ciladas"". E Esaú não percebe nada!"
OBA.1.8	1	8	Shall I not in that day, saith the LORD, even destroy the wise {men} out of Edom, and understanding out of the mount of Esau?	0.25	positive	"""Naquele dia"", declara o SENHOR, ""destruirei os sábios de Edom, e os mestres dos montes de Esaú."
OBA.1.9	1	9	And thy mighty {men}, O Teman, shall be dismayed, to the end that every one of the mount of Esau may be cut off by slaughter.	0.4	positive	Então os seus guerreiros, ó Temã, ficarão apavorados, e serão eliminados todos os homens dos montes de Esaú.
OBA.1.10	1	10	For {thy} violence against thy brother Jacob shame shall cover thee, and thou shalt be cut off for ever.	0.0	neutral	Por causa da violenta matança que você fez contra o seu irmão Jacó, você será coberto de vergonha e eliminado para sempre.
