verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
1TI.1.1	1	1	Paul, an apostle of Jesus Christ by the commandment of God our Saviour, and Lord Jesus Christ, {which is} our hope;	0.0	neutral	PABLO, apóstol de Jesucristo por la ordenación de Dios nuestro Salvador, y del Señor Jesucristo, nuestra esperanza;
1TI.1.2	1	2	Unto Timothy, {my} own son in the faith: Grace, mercy, {and} peace, from God our Father and Jesus Christ our Lord.	0.6	positive	A Timoteo, verdadero hijo en la fe: Gracia, misericordia y paz de Dios nuestro Padre, y de Cristo Jesús nuestro Señor.
1TI.1.3	1	3	As I besought thee to abide still at Ephesus, when I went into Macedonia, that thou mightest charge some that they teach no other doctrine,	0.0625	neutral	Como te rogué que te quedases en Efeso, cuando partí para Macedonia, para que requirieses á algunos que no enseñen diversa doctrina,
1TI.1.4	1	4	Neither give heed to fables and endless genealogies, which minister questions, rather than godly edifying which is in faith: {so do}.	-0.4375	negative	Ni presten atención á fábulas y genealogías sin término, que antes engendran cuestiones que la edificación de Dios que es por fe; así te encargo ahora.
1TI.1.5	1	5	Now the end of the commandment is charity out of a pure heart, and {of} a good conscience, and {of} faith unfeigned:	0.4571	positive	Pues el fin del mandamiento es la caridad nacida de corazón limpio, y de buena conciencia, y de fe no fingida:
1TI.1.6	1	6	From which some having swerved have turned aside unto vain jangling; {having...: or, not aiming at}	0.0	neutral	De lo cual distrayéndose algunos, se apartaron á vanas pláticas;
1TI.1.7	1	7	Desiring to be teachers of the law; understanding neither what they say, nor whereof they affirm.	0.0	neutral	Queriendo ser doctores de la ley, sin entender ni lo que hablan, ni lo que afirman.
1TI.1.8	1	8	But we know that the law {is} good, if a man use it lawfully;	0.35	positive	Sabemos empero que la ley es buena, si alguno usa de ella legítimamente;
1TI.1.9	1	9	Knowing this, that the law is not made for a righteous man, but for the lawless and disobedient, for the ungodly and for sinners, for unholy and profane, for murderers of fathers and murderers of mothers, for manslayers,	0.0	neutral	Conociendo esto, que la ley no es puesta para el justo, sino para los injustos y para los desobedientes, para los impíos y pecadores, para los malos y profanos, para los parricidas y matricidas, para los homicidas,
1TI.1.10	1	10	For whoremongers, for them that defile themselves with mankind, for menstealers, for liars, for perjured persons, and if there be any other thing that is contrary to sound doctrine;	0.1375	positive	Para los fornicarios, para los sodomitas, para los ladrones de hombres, para los mentirosos y ladrones de hombres, para los mentirosos y fjperjuros, y si hay alguna otra cosa contraria á la sana doctrina;
1TI.1.11	1	11	According to the glorious gospel of the blessed God, which was committed to my trust.	0.0	neutral	Según el evangelio de la gloria del Dios bendito, el cual á mí me ha sido encargado.
1TI.1.12	1	12	And I thank Christ Jesus our Lord, who hath enabled me, for that he counted me faithful, putting me into the ministry;	0.0	neutral	Y doy gracias al que me fortificó, á Cristo Jesús nuestro Señor, de que me tuvo por fiel, poniéndome en el ministerio:
1TI.1.13	1	13	Who was before a blasphemer, and a persecutor, and injurious: but I obtained mercy, because I did {it} ignorantly in unbelief.	0.0	neutral	Habiendo sido antes blasfemo y perseguidor é injuriador: mas fuí recibido á misericordia, porque lo hice con ignorancia en incredulidad.
