verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
ZEC.1.1	1	1	In the eighth month, in the second year of Darius, came the word of the LORD unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,	0.0	neutral	EN el mes octavo, en el año segundo de Darío, fué palabra de Jehová á Zacarías profeta, hijo de Berechîas, hijo de Iddo, diciendo:
ZEC.1.2	1	2	The LORD hath been sore displeased with your fathers. {sore...: Heb. with displeasure}	0.0	neutral	Enojóse Jehová con ira contra vuestros padres.
ZEC.1.3	1	3	Therefore say thou unto them, Thus saith the LORD of hosts; Turn ye unto me, saith the LORD of hosts, and I will turn unto you, saith the LORD of hosts.	0.0	neutral	Les dirás pues: Así ha dicho Jehová de los ejércitos: Volveos á mí, dice Jehová de los ejércitos, y yo me volveré á vosotros, ha dicho Jehová de los ejércitos.
ZEC.1.4	1	4	Be ye not as your fathers, unto whom the former prophets have cried, saying, Thus saith the LORD of hosts; Turn ye now from your evil ways, and {from} your evil doings: but they did not hear, nor hearken unto me, saith the LORD.	-0.6667	negative	No seáis como vuestros padres, á los cuales dieron voces los primeros profetas, diciendo: Así ha dicho Jehová de los ejércitos: Volveos ahora de vuestros malos caminos, y de vuestras malas obras: y no atendieron, ni me escucharon, dice Jehová.
ZEC.1.5	1	5	Your fathers, where {are} they? and the prophets, do they live for ever?	0.1364	positive	Vuestros padres, ¿dónde están? y los profetas ¿han de vivir para siempre?
ZEC.1.6	1	6	But my words and my statutes, which I commanded my servants the prophets, did they not take hold of your fathers? and they returned and said, Like as the LORD of hosts thought to do unto us, according to our ways, and according to our doings, so hath he dealt with us. {take...: or, overtake}	0.0	neutral	Empero mis palabras y mis ordenanzas que mandé á mis siervos los profetas, ¿no alcanzaron á vuestros padres? Por eso se volvieron ellos y dijeron: Como Jehová de los ejércitos pensó tratarnos conforme á nuestros caminos, y conforme á nuestras obras, así lo hizo con nosotros.
ZEC.1.7	1	7	Upon the four and twentieth day of the eleventh month, which {is} the month Sebat, in the second year of Darius, came the word of the LORD unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,	0.0	neutral	A los veinticuatro del mes undécimo, que es el mes de Sebath, en el año segundo de Darío, fué palabra de Jehová á Zacarías profeta, hijo de Berechîas, hijo de Iddo, diciendo:
ZEC.1.8	1	8	I saw by night, and behold a man riding upon a red horse, and he stood among the myrtle trees that {were} in the bottom; and behind him {were there} red horses, speckled, and white. {speckled: or, bay}	-0.1	neutral	Vi de noche, y he aquí un varón que cabalgaba sobre un caballo bermejo, el cual estaba entre los mirtos que había en la hondura; y detrás de él había caballos bermejos, overos, y blancos.
ZEC.1.9	1	9	Then said I, O my lord, what {are} these? And the angel that talked with me said unto me, I will shew thee what these {be}.	0.0	neutral	Entonces dije: ¿Qué son éstos, señor mío? Y díjome el ángel que hablaba conmigo: Yo te enseñaré qué son éstos.
ZEC.1.10	1	10	And the man that stood among the myrtle trees answered and said, These {are they} whom the LORD hath sent to walk to and fro through the earth.	0.0	neutral	Y aquel varón que estaba entre los mirtos respondió, y dijo: Estos son los que Jehová ha enviado á recorrer la tierra.
ZEC.1.11	1	11	And they answered the angel of the LORD that stood among the myrtle trees, and said, We have walked to and fro through the earth, and, behold, all the earth sitteth still, and is at rest.	0.0	neutral	Y ellos hablaron á aquel ángel de Jehová que estaba entre los mirtos, y dijeron: Hemos recorrido la tierra, y he aquí toda la tierra está reposada y quieta.
ZEC.1.12	1	12	Then the angel of the LORD answered and said, O LORD of hosts, how long wilt thou not have mercy on Jerusalem and on the cities of Judah, against which thou hast had indignation these threescore and ten years?	-0.025	neutral	Y respondió el ángel de Jehová, y dijo: Oh Jehová de los ejércitos, ¿hasta cuándo no tendrás piedad de Jerusalem, y de las ciudades de Judá, con las cuales has estado airado por espacio de setenta años?
ZEC.1.13	1	13	And the LORD answered the angel that talked with me {with} good words {and} comfortable words.	0.55	positive	Y Jehová respondió buenas palabras, palabras consolatorias á aquel ángel que hablaba conmigo.
ZEC.1.14	1	14	So the angel that communed with me said unto me, Cry thou, saying, Thus saith the LORD of hosts; I am jealous for Jerusalem and for Zion with a great jealousy.	0.8	positive	Y díjome el ángel que hablaba conmigo: Clama diciendo: Así ha dicho Jehová de los ejércitos: Celé á Jerusalem y á Sión con gran celo:
ZEC.1.15	1	15	And I am very sore displeased with the heathen {that are} at ease: for I was but a little displeased, and they helped forward the affliction.	0.0063	neutral	Y con grande enojo estoy airado contra las gentes que están reposadas; porque yo estaba enojado un poco, y ellos ayudaron para el mal.
ZEC.1.16	1	16	Therefore thus saith the LORD; I am returned to Jerusalem with mercies: my house shall be built in it, saith the LORD of hosts, and a line shall be stretched forth upon Jerusalem.	-0.05	neutral	Por tanto, así ha dicho Jehová: Yo me he tornado á Jerusalem con miseraciones; en ella será edificada mi casa, dice Jehová de los ejércitos, y la plomada será tendida sobre Jerusalem.
ZEC.1.17	1	17	Cry yet, saying, Thus saith the LORD of hosts; My cities through prosperity shall yet be spread abroad; and the LORD shall yet comfort Zion, and shall yet choose Jerusalem. {prosperity: Heb. good}	0.7	positive	Clama aún, diciendo: Así dice Jehová de los ejércitos: Aun serán ensanchadas mis ciudades por la abundancia del bien; y aun consolará Jehová á Sión, y escogerá todavía á Jerusalem.
ZEC.1.18	1	18	Then lifted I up mine eyes, and saw, and behold four horns.	0.0	neutral	Después alcé mis ojos, y miré, y he aquí cuatro cuernos.
ZEC.1.19	1	19	And I said unto the angel that talked with me, What {be} these? And he answered me, These {are} the horns which have scattered Judah, Israel, and Jerusalem.	0.0	neutral	Y dije al ángel que hablaba conmigo: ¿Qué son éstos? Y respondióme: Estos son los cuernos que aventaron á Judá, á Israel, y á Jerusalem.
ZEC.1.20	1	20	And the LORD shewed me four carpenters.	0.0	neutral	Mostróme luego Jehová cuatro carpinteros.
ZEC.1.21	1	21	Then said I, What come these to do? And he spake, saying, These {are} the horns which have scattered Judah, so that no man did lift up his head: but these are come to fray them, to cast out the horns of the Gentiles, which lifted up {their} horn over the land of Judah to scatter it.	0.0	neutral	Y yo dije: ¿Qué vienen éstos á hacer? Y respondióme, diciendo: Estos son los cuernos que aventaron á Judá, tanto que ninguno alzó su cabeza; mas éstos han venido para hacerlos temblar, para derribar los cuernos de las gentes, que alzaron el cuerno sobre la tierra de Judá para aventarla.
ZEC.2.1	2	1	I lifted up mine eyes again, and looked, and behold a man with a measuring line in his hand.	0.0	neutral	ALCÉ después mis ojos, y miré y he aquí un varón que tenía en su mano un cordel de medir.
ZEC.2.2	2	2	Then said I, Whither goest thou? And he said unto me, To measure Jerusalem, to see what {is} the breadth thereof, and what {is} the length thereof.	0.0	neutral	Y díjele: ¿A dónde vas? Y él me respondió: A medir á Jerusalem, para ver cuánta es su anchura, y cuánta su longitud.
ZEC.2.3	2	3	And, behold, the angel that talked with me went forth, and another angel went out to meet him,	0.0	neutral	Y he aquí, salía aquel ángel que hablaba conmigo, y otro ángel le salió al encuentro,
ZEC.2.4	2	4	And said unto him, Run, speak to this young man, saying, Jerusalem shall be inhabited {as} towns without walls for the multitude of men and cattle therein:	0.1	neutral	Y díjole: Corre, habla á este mozo, diciendo: Sin muros será habitada Jerusalem á causa de la multitud de los hombres, y de las bestias en medio de ella.
ZEC.2.5	2	5	For I, saith the LORD, will be unto her a wall of fire round about, and will be the glory in the midst of her.	-0.2	negative	Yo seré para ella, dice Jehová, muro de fuego en derredor, y seré por gloria en medio de ella.
ZEC.2.6	2	6	Ho, ho, {come forth}, and flee from the land of the north, saith the LORD: for I have spread you abroad as the four winds of the heaven, saith the LORD.	0.0	neutral	Eh, eh, huid de la tierra del aquilón, dice Jehová, pues por los cuatro vientos de los cielos os esparcí, dice Jehová.
ZEC.2.7	2	7	Deliver thyself, O Zion, that dwellest {with} the daughter of Babylon.	0.0	neutral	Oh Sión, la que moras con la hija de Babilonia, escápate.
ZEC.2.8	2	8	For thus saith the LORD of hosts; After the glory hath he sent me unto the nations which spoiled you: for he that toucheth you toucheth the apple of his eye.	0.0	neutral	Porque así ha dicho Jehová de los ejércitos: Después de la gloria me enviará él á las gentes que os despojaron: porque el que os toca, toca á la niña de su ojo.
ZEC.2.9	2	9	For, behold, I will shake mine hand upon them, and they shall be a spoil to their servants: and ye shall know that the LORD of hosts hath sent me.	0.0	neutral	Porque he aquí yo alzo mi mano sobre ellos, y serán despojo á sus siervos, y sabréis que Jehová de los ejércitos me envió.
ZEC.2.10	2	10	Sing and rejoice, O daughter of Zion: for, lo, I come, and I will dwell in the midst of thee, saith the LORD.	0.0	neutral	Canta y alégrate, hija de Sión: porque he aquí vengo, y moraré en medio de ti, ha dicho Jehová.
