verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
JOL.1.1	1	1	The word of the LORD that came to Joel the son of Pethuel.	0.0	neutral	PALABRA de Jehová que fué á Joel hijo de Pethuel.
JOL.1.2	1	2	Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or even in the days of your fathers?	0.1	neutral	Oid esto, viejos, y escuchad, todos los moradores de la tierra. ¿Ha acontecido esto en vuestros días, ó en los días de vuestros padres?
JOL.1.3	1	3	Tell ye your children of it, and {let} your children {tell} their children, and their children another generation.	0.0	neutral	De esto contaréis á vuestros hijos, y vuestros hijos á sus hijos, y su hijos á la otra generación.
JOL.1.4	1	4	That which the palmerworm hath left hath the locust eaten; and that which the locust hath left hath the cankerworm eaten; and that which the cankerworm hath left hath the caterpiller eaten. {That which the palmerworm...: Heb. The residue of the palmerworm}	0.0	neutral	Lo que quedó de la oruga comió la langosta, y lo que quedó de la langosta comió el pulgón; y el revoltón comió lo que del pulgón había quedado.
JOL.1.5	1	5	Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth.	0.1364	positive	Despertad, borrachos, y llorad; aullad todos los que bebéis vino, á causa del mosto, porque os es quitado de vuestra boca.
JOL.1.6	1	6	For a nation is come up upon my land, strong, and without number, whose teeth {are} the teeth of a lion, and he hath the cheek teeth of a great lion.	0.6167	positive	Porque gente subió á mi tierra, fuerte y sin número; sus dientes, dientes de león, y sus muelas, de león.
JOL.1.7	1	7	He hath laid my vine waste, and barked my fig tree: he hath made it clean bare, and cast {it} away; the branches thereof are made white. {barked...: Heb. laid my fig tree for a barking}	0.0542	neutral	Asoló mi vid, y descortezó mi higuera: del todo la desnudó y derribó: sus ramas quedaron blancas.
JOL.1.8	1	8	Lament like a virgin girded with sackcloth for the husband of her youth.	0.0	neutral	Llora tú como moza vestida de saco por el marido de su juventud.
JOL.1.9	1	9	The meat offering and the drink offering is cut off from the house of the LORD; the priests, the LORD'S ministers, mourn.	0.0	neutral	Pereció el presente y la libación de la casa de Jehová: los sacerdotes ministros de Jehová hicieron luto.
JOL.1.10	1	10	The field is wasted, the land mourneth; for the corn is wasted: the new wine is dried up, the oil languisheth.	-0.1159	negative	El campo fué destruído, enlutóse la tierra; porque el trigo fué destuído, se secó el mosto, perdióse el aceite.
JOL.1.11	1	11	Be ye ashamed, O ye husbandmen; howl, O ye vinedressers, for the wheat and for the barley; because the harvest of the field is perished.	0.0	neutral	Confundíos, labradores, aullad, viñeros, por el trigo y la cebada; porque se perdió la mies del campo.
JOL.1.12	1	12	The vine is dried up, and the fig tree languisheth; the pomegranate tree, the palm tree also, and the apple tree, {even} all the trees of the field, are withered: because joy is withered away from the sons of men.	0.3	positive	Secóse la vid, y pereció la higuera, el granado también, la palma, y el manzano; secáronse todos los árboles del campo; por lo cual se secó el gozo de los hijos de los hombres.
JOL.1.13	1	13	Gird yourselves, and lament, ye priests: howl, ye ministers of the altar: come, lie all night in sackcloth, ye ministers of my God: for the meat offering and the drink offering is withholden from the house of your God.	0.0	neutral	Ceñíos y lamentad, sacerdotes; aullad, ministros del altar; venid, dormid en sacos, ministros de mi Dios: porque quitado es de la casa de vuestro Dios el presente y la libación.
JOL.1.14	1	14	Sanctify ye a fast, call a solemn assembly, gather the elders {and} all the inhabitants of the land {into} the house of the LORD your God, and cry unto the LORD, {solemn...: or, day of restraint}	0.2	positive	Pregonad ayuno, llamad á congregación; congregad los ancianos y todos los moradores de la tierra en la casa de Jehová vuestro Dios, y clamad á Jehová.
JOL.1.15	1	15	Alas for the day! for the day of the LORD {is} at hand, and as a destruction from the Almighty shall it come.	-0.5	negative	¡Ay del día! porque cercano está el día de Jehová, y vendrá como destrucción por el Todopoderoso.
JOL.1.16	1	16	Is not the meat cut off before our eyes, {yea}, joy and gladness from the house of our God?	0.8	positive	¿No es quitado el mantenimiento de delante de nuestros ojos, la alegría y el placer de la casa de nuestro Dios?
