verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
ZEP.1.1	1	1	The word of the LORD which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hizkiah, in the days of Josiah the son of Amon, king of Judah.	0.0	neutral	PALABRA de Jehová que fué á Sofonías hijo de Cushi, hijo de Gedalías, hijo de Amarías, hijo de Ezechîas, en días de Josías hijo de Amón, rey de Judá.
ZEP.1.2	1	2	I will utterly consume all {things} from off the land, saith the LORD. {I will...; Heb. By taking away I will make an end} {the land: Heb. the face of the land}	0.0	neutral	Destruiré del todo todas las cosas de sobre la haz de la tierra, dice Jehová.
ZEP.1.3	1	3	I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, and the stumblingblocks with the wicked; and I will cut off man from off the land, saith the LORD. {stumblingblocks: or, idols}	0.0	neutral	Destruiré los hombres y las bestias; destruiré las aves del cielo, y los peces de la mar, y las piedras de tropiezo con los impíos; y talaré los hombres de sobre la haz de la tierra, dice Jehová.
ZEP.1.4	1	4	I will also stretch out mine hand upon Judah, and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, {and} the name of the Chemarims with the priests;	0.0	neutral	Y extenderé mi mano sobre Judá, y sobre todos los moradores de Jerusalem, y exterminaré de este lugar el remanente de Baal, y el nombre de los Chemarim con los sacerdotes;
ZEP.1.5	1	5	And them that worship the host of heaven upon the housetops; and them that worship {and} that swear by the LORD, and that swear by Malcham; {by the...: or, to the LORD}	0.0	neutral	Y á los que se inclinan sobre los terrados al ejército del cielo; y á los que se inclinan jurando por Jehová y jurando por su rey;
ZEP.1.6	1	6	And them that are turned back from the LORD; and {those} that have not sought the LORD, nor enquired for him.	0.0	neutral	Y á los que tornan atrás de en pos de Jehová; y á los que no buscaron á Jehová, ni preguntaron por él.
ZEP.1.7	1	7	Hold thy peace at the presence of the Lord GOD: for the day of the LORD {is} at hand: for the LORD hath prepared a sacrifice, he hath bid his guests. {bid: Heb. sanctified, or, prepared}	0.0	neutral	Calla en la presencia del Señor Jehová, porque el día de Jehová está cercano; porque Jehová ha aparejado sacrificio, prevenido á sus convidados.
ZEP.1.8	1	8	And it shall come to pass in the day of the LORD'S sacrifice, that I will punish the princes, and the king's children, and all such as are clothed with strange apparel. {punish: Heb. visit upon}	-0.025	neutral	Y será que en el día del sacrificio de Jehová, haré visitación sobre los príncipes, y sobre los hijos del rey, y sobre todos los que visten vestido extranjero.
ZEP.1.9	1	9	In the same day also will I punish all those that leap on the threshold, which fill their masters' houses with violence and deceit.	0.0	neutral	Asimismo haré visitación en aquel día sobre todos los que saltan la puerta, los que hinchen de robo y de engaño las casas de sus señores.
ZEP.1.10	1	10	And it shall come to pass in that day, saith the LORD, {that there shall be} the noise of a cry from the fish gate, and an howling from the second, and a great crashing from the hills.	0.4	positive	Y habrá en aquel día, dice Jehová, voz de clamor desde la puerta del pescado, y aullido desde la segunda, y grande quebrantamiento desde los collados.
ZEP.1.11	1	11	Howl, ye inhabitants of Maktesh, for all the merchant people are cut down; all they that bear silver are cut off.	-0.1556	negative	Aullad, moradores de Mactes, porque todo el pueblo mercader es destruido; talado son todos los que traían dinero.
ZEP.1.12	1	12	And it shall come to pass at that time, {that} I will search Jerusalem with candles, and punish the men that are settled on their lees: that say in their heart, The LORD will not do good, neither will he do evil. {settled: Heb. curded, or, thickened}	-0.15	negative	Y será en aquel tiempo, que yo escudriñaré á Jerusalem con candiles, y haré visitación sobre los hombres que están sentados sobre sus heces, los cuales dicen en su corazón: Jehová ni hará bien ni mal.
ZEP.1.13	1	13	Therefore their goods shall become a booty, and their houses a desolation: they shall also build houses, but not inhabit {them}; and they shall plant vineyards, but not drink the wine thereof.	0.0	neutral	Será por tanto saqueada su hacienda, y sus casas asoladas: y edificarán casas, mas no las habitarán; y plantarán viñas, mas no beberán el vino de ellas.
ZEP.1.14	1	14	The great day of the LORD {is} near, {it is} near, and hasteth greatly, {even} the voice of the day of the LORD: the mighty man shall cry there bitterly.	0.35	positive	Cercano está el día grande de Jehová, cercano y muy presuroso; voz amarga del Día de Jehová; gritará allí el valiente.
ZEP.1.15	1	15	That day {is} a day of wrath, a day of trouble and distress, a day of wasteness and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,	-0.25	negative	Día de ira aquel día, día de angustia y de aprieto, día de alboroto y de asolamiento, día de tiniebla y de oscuridad, día de nublado y de entenebrecimiento,
ZEP.1.16	1	16	A day of the trumpet and alarm against the fenced cities, and against the high towers.	0.16	positive	Día de trompeta y de algazara, sobre las ciudades fuertes, y sobre las altas torres.
ZEP.1.17	1	17	And I will bring distress upon men, that they shall walk like blind men, because they have sinned against the LORD: and their blood shall be poured out as dust, and their flesh as the dung.	-0.5	negative	Y atribularé los hombres, y andarán como ciegos, porque pecaron contra Jehová: y la sangre de ellos será derramada como polvo, y su carne como estiércol.
ZEP.1.18	1	18	Neither their silver nor their gold shall be able to deliver them in the day of the LORD'S wrath; but the whole land shall be devoured by the fire of his jealousy: for he shall make even a speedy riddance of all them that dwell in the land.	0.35	positive	Ni su plata ni su oro podrá librarlos en el día de la ira de Jehová; pues toda la tierra será consumida con el fuego de su celo: porque ciertamente consumación apresurada hará con todos los moradores de la tierra.
ZEP.2.1	2	1	Gather yourselves together, yea, gather together, O nation not desired; {not...: or, not desirous}	0.0	neutral	CONGREGAOS y meditad, gente no amable,
ZEP.2.2	2	2	Before the decree bring forth, {before} the day pass as the chaff, before the fierce anger of the LORD come upon you, before the day of the LORD'S anger come upon you.	-0.7	negative	Antes que pára el decreto, y el día se pase como el tamo; antes que venga sobre vosotros el furor de la ira de Jehová, antes que el día de la ira de Jehová venga sobre vosotros.
ZEP.2.3	2	3	Seek ye the LORD, all ye meek of the earth, which have wrought his judgment; seek righteousness, seek meekness: it may be ye shall be hid in the day of the LORD'S anger.	-0.7	negative	Buscad á Jehová todos los humildes de la tierra, que pusisteis en obra su juicio; buscad justicia, buscad mansedumbre: quizás seréis guardados en el día del enojo de Jehová.
ZEP.2.4	2	4	For Gaza shall be forsaken, and Ashkelon a desolation: they shall drive out Ashdod at the noon day, and Ekron shall be rooted up.	0.0	neutral	Porque Gaza será desamparada, y Ascalón asolada: saquearán á Asdod en el medio día, y Ecrón será desarraigada.
ZEP.2.5	2	5	Woe unto the inhabitants of the sea coast, the nation of the Cherethites! the word of the LORD {is} against you; O Canaan, the land of the Philistines, I will even destroy thee, that there shall be no inhabitant.	-0.2	negative	¡Ay de los que moran á la parte de la mar, de la gente de Cheretim! La palabra de Jehová es contra vosotros, oh Canaán, tierra de Palestinos, que te haré destruir hasta no quedar morador.
ZEP.2.6	2	6	And the sea coast shall be dwellings {and} cottages for shepherds, and folds for flocks.	0.0	neutral	Y será la parte de la mar por moradas de cabañas de pastores, y corrales de ovejas.
ZEP.2.7	2	7	And the coast shall be for the remnant of the house of Judah; they shall feed thereupon: in the houses of Ashkelon shall they lie down in the evening: for the LORD their God shall visit them, and turn away their captivity. {for the LORD: or, when, etc}	-0.1556	negative	Y será aquella parte para el resto de la casa de Judá; allí apacentarán: en las casas de Ascalón dormirán á la noche; porque Jehová su Dios los visitará, y tornará sus cautivos.
ZEP.2.8	2	8	I have heard the reproach of Moab, and the revilings of the children of Ammon, whereby they have reproached my people, and magnified {themselves} against their border.	0.0	neutral	Yo he oído las afrentas de Moab, y los denuestos de los hijos de Ammón con que deshonraron á mi pueblo, y se engrandecieron sobre su término.
ZEP.2.9	2	9	Therefore {as} I live, saith the LORD of hosts, the God of Israel, Surely Moab shall be as Sodom, and the children of Ammon as Gomorrah, {even} the breeding of nettles, and saltpits, and a perpetual desolation: the residue of my people shall spoil them, and the remnant of my people shall possess them.	0.3182	positive	Por tanto, vivo yo, dice Jehová de los ejércitos, Dios de Israel, que Moab será como Sodoma, y los hijos de Ammon como Gomorra; campo de ortigas, y mina de sal, y asolamiento perpetuo: el resto de mi pueblo los saqueará, y el resto de mi gente los heredará.
ZEP.2.10	2	10	This shall they have for their pride, because they have reproached and magnified {themselves} against the people of the LORD of hosts.	0.0	neutral	Esto les vendrá por su soberbia, porque afrentaron, y se engrandecieron contra el pueblo de Jehová de los ejércitos.
ZEP.2.11	2	11	The LORD {will be} terrible unto them: for he will famish all the gods of the earth; and {men} shall worship him, every one from his place, {even} all the isles of the heathen. {famish: Heb. make lean}	-1.0	negative	Terrible será Jehová contra ellos, porque enervará á todos los dioses de la tierra; y cada uno desde su lugar se inclinará á él, todas las islas de las gentes.
ZEP.2.12	2	12	Ye Ethiopians also, ye {shall be} slain by my sword.	0.0	neutral	Vosotros también los de Etiopía seréis muertos con mi espada.
