verse_id	chapter	verse	text_en	polarity_en	label_en	text_es
MAL.1.1	1	1	The burden of the word of the LORD to Israel by Malachi. {by...: Heb. by the hand of}	0.0	neutral	CARGA de la palabra de Jehová contra Israel, por mano de Malaquías.
MAL.1.2	1	2	I have loved you, saith the LORD. Yet ye say, Wherein hast thou loved us? {Was} not Esau Jacob's brother? saith the LORD: yet I loved Jacob,	0.7	positive	Yo os he amado, dice Jehová: y dijisteis: ¿En qué nos amaste? ¿No era Esaú hermano de Jacob, dice Jehová, y amé á Jacob,
MAL.1.3	1	3	And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.	-0.55	negative	Y á Esaú aborrecí, y torné sus montes en asolamiento, y su posesión para los chacales del desierto?
MAL.1.4	1	4	Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the LORD of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the LORD hath indignation for ever.	-0.1556	negative	Cuando Edom dijere: Nos hemos empobrecido, mas tornemos á edificar lo arruinado; así ha dicho Jehová de los ejércitos: Ellos edificarán, y yo destruiré: y les llamarán Provincia de impiedad, y, Pueblo contra quien Jehová se airó para siempre.
MAL.1.5	1	5	And your eyes shall see, and ye shall say, The LORD will be magnified from the border of Israel. {from: or, upon: Heb. from upon}	0.0	neutral	Y vuestros ojos lo verán, y diréis: Sea Jehová engrandecido sobre la provincia de Israel.
MAL.1.6	1	6	A son honoureth {his} father, and a servant his master: if then I {be} a father, where {is} mine honour? and if I {be} a master, where {is} my fear? saith the LORD of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?	0.0	neutral	El hijo honra al padre, y el siervo á su señor: si pues soy yo padre, ¿qué es de mi honra? y si soy señor, ¿qué es de mi temor?, dice Jehová de los ejércitos á vosotros, oh sacerdotes, que menospreciáis mi nombre. Y decís: ¿En qué hemos menospreciado tu nombre?
MAL.1.7	1	7	Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the LORD {is} contemptible. {offer...: or, bring unto, etc}	0.0	neutral	Que ofrecéis sobre mi altar pan inmundo. Y dijisteis: ¿En qué te hemos amancillado? En que decís: La mesa de Jehová es despreciable.
MAL.1.8	1	8	And if ye offer the blind for sacrifice, {is it} not evil? and if ye offer the lame and sick, {is it} not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the LORD of hosts. {for: Heb. to}	-0.0357	neutral	Y cuando ofrecéis el animal ciego para sacrificar, ¿no es malo? asimismo cuando ofrecéis el cojo ó el enfermo, ¿no es malo? Preséntalo pues á tu príncipe: ¿acaso se agradará de ti, ó le serás acepto? dice Jehová de los ejércitos.
MAL.1.9	1	9	And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the LORD of hosts. {God: Heb. the face of God} {by...: Heb. from your hand}	0.0	neutral	Ahora pues, orad á la faz de Dios que tenga piedad de nosotros: esto de vuestra mano vino: ¿le seréis agradables? dice Jehová de los ejércitos.
MAL.1.10	1	10	Who {is there} even among you that would shut the doors {for nought}? neither do ye kindle {fire} on mine altar for nought. I have no pleasure in you, saith the LORD of hosts, neither will I accept an offering at your hand.	0.0	neutral	¿Quién también hay de vosotros que cierre las puertas ó alumbre mi altar de balde? Yo no recibo contentamiento en vosotros, dice Jehová de los ejércitos, ni de vuestra mano me será agradable el presente.
MAL.1.11	1	11	For from the rising of the sun even unto the going down of the same my name {shall be} great among the Gentiles; and in every place incense {shall be} offered unto my name, and a pure offering: for my name {shall be} great among the heathen, saith the LORD of hosts.	0.3317	positive	Porque desde donde el sol nace hasta donde se pone, es grande mi nombre entre las gentes; y en todo lugar se ofrece á mi nombre perfume, y presente limpio: porque grande es mi nombre entre las gentes, dice Jehová de los ejércitos.
MAL.1.12	1	12	But ye have profaned it, in that ye say, The table of the LORD {is} polluted; and the fruit thereof, {even} his meat, {is} contemptible.	0.0	neutral	Y vosotros lo habéis profanado cuando decís: Inmunda es la mesa de Jehová; y cuando hablan que su alimento es despreciable.
